"lat","lng"
-0.964852,100.389427
-0.9564529,100.3801333
-0.875795,100.3674171
-0.9546894,100.3792766
-0.9676487,100.4086401
-0.9340529,100.3782991
-0.9003956,100.3967508
-0.9804145,100.4035532
-0.942793,100.392052
-0.9632532,100.3532108
-0.8964542,100.4022728
-0.8906728,100.3513943
-0.824199,100.3255696
-0.9338277,100.3814861
-0.8767709,100.3699775
-0.9457768,100.3904057
-0.9453654,100.4048835
-0.8952933,100.3537204
-0.9144037,100.4099851
-0.9033726,100.3691163
-0.2897943,100.3656599
-0.2865734,100.4043186
-0.2926257,100.3943294
-0.2676094,100.2164228
-0.2739514,100.3689684
-0.0905903,100.4414146
-0.2276844,100.6118197
-0.2895033,100.3755013
-0.030375,100.4162524
-0.1659046,100.5958876
-0.1841276,100.6105521
-0.1084926,100.5368875
-0.1195717,100.5181069
-0.1841689,100.6104534
-0.2878281,100.2259881
-0.0811267,100.5863454
-0.235612,100.1744994
-0.1766698,100.6081859
-0.2632364,100.4975209
0.0362204,100.5007152
-16.3295739,145.4093917
-30.4137321,149.7880308
-38.2017957,145.1270248
-36.8520084,147.0806122
-37.4281256,145.7050942
-33.6180956,150.7481167
-37.88182,145.454471
-33.948734,150.752273
-37.2482002,143.9597614
-16.9451539,145.7707888
-0.2285048,34.8430619
-32.775777,151.981691
-6.1956978,106.7425565
-16.3295611,145.4096128
7.3439703,3.875409
58.9934725,5.6920282
32.2204251,-95.7674717
11.5791922,122.7195267
-44.1900198,170.1399542
-5.8101891,110.4586291
-5.8824483,110.4283949
-7.5290761,110.7874242
-7.7176346,110.4285153
-7.8274365,110.4293692
-8.0642688,112.7448079
-8.4112232,112.7120467
-8.1500008,112.7219163
-7.9759593,112.6506339
-8.2563886,112.7744972
-8.1254664,112.7605914
-7.9802958,112.6200119
-8.0888637,112.6469483
-7.9998771,112.6221255
-8.241116,112.7977788
-7.9370588,112.6042876
-7.7080915,112.6995892
-8.0752705,112.518332
-7.8935608,112.640426
-8.3590667,112.7237202
-8.0312363,112.5978622
-8.3400396,112.5974119
-7.8857487,112.6598563
-8.2852927,112.572886
-8.3279645,112.6096185
-8.0179047,112.573574
-0.8932878,119.8646876
-0.903398,119.8934461
-0.9070668,119.8527171
-0.895757,119.885719
-0.9041482,119.882445
-0.8946293,119.8960047
-0.9037764,119.8388711
-0.9005973,119.894681
-0.8960043,119.8907457
-0.8884598,119.8359243
-0.9139489,119.8404535
-0.9150542,119.8737532
-0.8999292,119.8811055
-0.8927137,119.8666458
-2.6387721,120.8722918
-2.6155618,120.9494861
-2.615387,120.9513177
-2.6142563,120.9514116
-2.642342,120.9034467
-2.6394539,120.6781831
-2.6204954,120.9513068
-2.614136,120.9497926
-2.6231546,120.9787587
-4.0330805,122.473242
-3.9960695,122.5128006
-4.055689,122.4769257
-4.0190906,122.5556284
-4.015467,122.5283557
-3.9889989,122.5094411
-4.0141526,122.4757154
-4.0485457,122.5602046
-4.0167581,122.4772298
-3.9675625,122.4824375
-3.877795,122.4653284
-4.0489515,122.4545465
-3.9997654,122.5263707
-3.8596182,122.4390325
-4.0131781,122.4712734
-3.8994805,122.5346354
-4.0204214,122.4886415
-4.00111,122.4826963
-5.3214132,123.5370227
1.3856037,125.0282168
1.4433006,124.9653579
1.5264865,124.8502468
1.5297781,124.9173289
1.3142329,124.8056696
1.4695111,124.9296081
1.4529237,124.9514949
1.4710843,124.8805427
1.4908971,124.971286
1.4838276,124.8456832
1.5268582,124.9963122
1.4867325,124.9471243
1.4943216,124.8696962
1.4509437,124.8489796
1.4734764,124.9660938
1.4948292,124.9743415
1.5140826,124.8645789
1.4998779,124.9690556
1.4863542,124.8612995
1.4551803,124.8619158
5.598254,95.3771553
5.561275,95.3323739
5.5804741,95.3452335
5.6164475,95.4064536
5.5611665,95.3551577
5.5522964,95.2863289
5.5480692,95.3382628
5.6009637,95.3701147
5.5704111,95.3167261
5.5482887,95.3237741
5.5382777,95.3688765
5.5670065,95.3841333
5.566259,95.3008892
5.6004137,95.3684139
5.6107989,95.3950756
5.5471611,95.3221018
5.5831899,95.3669325
5.5881009,95.3777363
5.592905,95.3650005
5.5056692,95.3752894
5.5118553,95.3562314
5.5165382,95.3651285
5.5350377,95.3744958
5.4978999,95.3964936
5.5069907,95.3755584
5.3995572,95.5078327
5.518853,95.2970266
53.9131513,12.7030541
1.4286975,97.1419103
1.424135,97.168065
1.4581365,97.4111035
0.8457737,97.6093639
0.872804,97.582563
2.3692895,97.5386096
2.3354025,97.3891052
1.2980158,97.6075357
1.3758527,97.5463716
1.4715764,97.4881454
1.2521853,97.6408029
1.688408,98.8225955
1.6707094,98.8310205
1.7102024,98.8224968
1.7302396,98.8016035
1.7440221,98.7805301
1.7368371,98.7851121
1.6688098,98.8338302
1.7814896,98.6984122
1.6868906,98.8239286
1.6808658,98.8342417
1.6784259,98.8612485
-6.6057132,110.6834385
-6.7377665,110.7348118
-6.6253166,110.6537551
-6.5957647,110.6865794
-6.584984,110.70621
-6.6254348,110.688757
-6.7119446,110.6929536
-6.7023688,110.7026189
-6.5344086,110.745443
-6.6087955,110.6756971
-6.6863982,110.6691453
-6.7785741,110.7650951
-6.6420863,110.7090088
-6.5254615,110.7084
-6.609074,110.6879996
-6.629937,110.7373562
-6.6769368,110.7230781
-6.6991685,110.7104313
-6.5982214,110.679343
-6.6690399,110.6676187
-6.6184565,110.7021405
-6.5289455,110.7294957
-8.121685,115.3477439
-8.1772252,115.4657051
-8.5050254,115.3439586
-8.0789387,115.1609169
-8.1564319,114.7158816
-8.1117323,115.1037152
-8.0954345,115.1171579
-8.098046,115.1185859
-8.1572666,114.7171098
-8.2529032,115.4250138
-8.252453,115.4249043
-5.140979,119.42074
-5.1545181,119.4067992
-5.138834,119.5049747
-5.1026187,119.493406
-5.1982279,119.4069417
-5.1490387,119.4517337
-5.1279106,119.4158816
-5.1501986,119.4594408
-5.1776501,119.4382036
-5.1762603,119.4442939
-5.179024,119.431955
-5.2001689,119.3882059
-5.1521677,119.4466306
-5.090926,119.6084737
-5.1394658,119.4186144
-5.1671644,119.4887779
-5.1984002,119.4445495
-5.1699143,119.4437708
-5.1820131,119.4084507
-5.1703262,119.4216212
-7.779106,114.3076703
-7.7620011,114.2419057
-7.783436,114.2988543
-7.8341629,113.9476777
-8.3440598,113.5885539
-7.7477365,114.2119388
-7.7628927,113.5092991
-7.6797874,112.986898
-7.7678608,114.2995664
-8.1864742,114.2402606
-6.3399108,106.8983541
-5.7433821,106.6151311
-6.3980321,106.5959379
5.5296109,95.3191357
-8.426108,115.557415
-8.4452772,115.5055882
-8.6195537,115.2982194
-8.3839709,115.6035666
-8.448708,115.485131
-8.4420112,115.48836
-8.4273977,115.5795991
-8.4411317,115.5041936
-8.4593136,115.6088009
-8.4470121,115.5863549
-8.4263129,115.4778397
-8.39487,115.45075
-7.6974015,113.8216086
-7.6821707,113.867309
-7.6845702,113.8626467
-7.7903381,113.9772796
-7.7211062,113.8022747
-7.7083685,113.8132986
-7.7095726,113.8125916
-7.713091,113.707468
-7.6917273,113.9655419
-7.6839245,113.8647535
-7.7371079,113.9451069
-7.8233117,113.9585837
-7.7340058,113.7855206
-7.8455637,113.756211
-7.7140483,113.9997672
-7.682123,114.0157804
-3.1634067,135.7487652
1.6632083,125.1059503
1.6817836,125.0521765
-7.6421869,114.0412075
-7.7894186,113.9828271
-7.6394478,113.9945175
-7.908623,113.8412123
-7.9256439,113.8881568
-7.8891381,113.8893325
-7.9132126,113.8156782
-7.8986073,113.8387663
-8.3657447,116.1616894
-8.3880374,116.1054495
-8.3822617,116.1169148
-38.101887,145.522131
-8.5573663,116.3915126
-8.5606197,116.3995222
-8.5608314,116.3919452
-8.5796441,116.138023
-8.5733625,116.1595659
-8.5791024,116.1642241
-8.5763239,116.14506
-8.5813411,116.1656017
-8.568684,116.2025064
-8.5609918,116.154335
-8.567986,116.1567128
-8.5680707,116.1583852
-8.571106,116.143307
-8.5732519,116.1512315
-8.600544,116.625815
9.9994726,122.7108167
10.0546434,122.837796
10.3140894,123.9585737
7.9913528,122.6790327
11.7439806,122.3038407
10.2921263,123.9640836
12.5576134,122.0034277
14.6567843,121.0707667
10.2629206,123.7843785
