project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,biomass_kgha_avg,biomass_kgha_by_trophic_group_avg,biomass_kgha_by_fish_family_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_beltfish
Liang Ngali 2014,Indonesia,Dangar Ode,-8.4264879,117.635282,semi-exposed,fringing,fore reef,2014,6,11,,,,3,Protection,Zona Perlindungan Bahari,2014,,"community, local government, government, NGO",full,no take,4,253.62,"{'omnivore': 19.82, 'piscivore': 17.55, 'planktivore': 92.99, 'invertivore-mobile': 98.2, 'invertivore-sessile': 3.05, 'herbivore-detritivore': 22.02}","{'Labridae': 20.84, 'Mullidae': 4.23, 'Scaridae': 10.44, 'Siganidae': 1.4, 'Apogonidae': 43.22, 'Blenniidae': 0.06, 'Lutjanidae': 4.64, 'Serranidae': 2.05, 'Lethrinidae': 0.49, 'Acanthuridae': 9.6, 'Caesioinidae': 10.59, 'Nemipteridae': 47.86, 'Pomacanthidae': 0.96, 'Pomacentridae': 97.0, 'Chaetodontidae': 0.25}","Exposure, Reef Type, Reef Zone belum sesuai",,Coral/Algae,Outer Reef Flat,-0.0939,0.26478,0.56747,0.07969,-1.17365,-2.26259,3.922341788,2136.941162,15.53290081,5002.556676,0,29,0.700410238,819ba441-b79c-4da8-be43-592f2cb4174e,be67a254-e7d0-4e3c-ad74-df9f79c678a8,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96f27ff6-daf6-4951-8b7b-7829d0006bd9,819ba441-b79c-4da8-be43-592f2cb4174e,public summary
Liang Ngali 2014,Indonesia,Liang E,-8.4909668,117.678166,semi-exposed,fringing,fore reef,2014,6,11,,,,4,Protection,Zona Perlindungan Bahari,2014,,"community, local government, government, NGO",full,no take,4,242.3,"{'omnivore': 58.35, 'piscivore': 35.99, 'planktivore': 26.84, 'invertivore-mobile': 55.87, 'invertivore-sessile': 5.34, 'herbivore-detritivore': 59.92}","{'Labridae': 30.35, 'Mullidae': 0.59, 'Scaridae': 45.74, 'Siganidae': 1.66, 'Apogonidae': 3.47, 'Balistidae': 5.26, 'Lutjanidae': 26.13, 'Serranidae': 3.16, 'Acanthuridae': 6.44, 'Caesioinidae': 1.91, 'Nemipteridae': 20.2, 'Pomacanthidae': 2.3, 'Pomacentridae': 87.12, 'Chaetodontidae': 7.99}",,,Coral/Algae,Terrestrial Reef Flat,-0.12483,0.74514,0.56823,0.07466,-1.64767,-2.85835,3.212561891,1776.457275,12.18722057,3877.787679,0,3,0.675918696,f6176f84-dd63-4e83-a272-58d3742fdba4,b9fc3ce6-38c2-4de2-9b76-0a1bab75d984,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96f27ff6-daf6-4951-8b7b-7829d0006bd9,f6176f84-dd63-4e83-a272-58d3742fdba4,public summary
Liang Ngali 2014,Indonesia,Liang N,-8.4482047,117.661589,semi-exposed,fringing,fore reef,2014,6,12,,,,2,Protection,Zona Perlindungan Bahari,2014,,"community, local government, government, NGO",full,no take,4,227.6,"{'omnivore': 44.12, 'piscivore': 23.43, 'planktivore': 60.35, 'invertivore-mobile': 41.87, 'invertivore-sessile': 18.91, 'herbivore-detritivore': 38.93}","{'Labridae': 16.85, 'Mullidae': 1.74, 'Scaridae': 31.55, 'Zanclidae': 0.33, 'Balistidae': 1.56, 'Lutjanidae': 26.81, 'Acanthuridae': 17.89, 'Nemipteridae': 15.75, 'Pomacanthidae': 1.85, 'Pomacentridae': 92.11, 'Chaetodontidae': 20.04, 'Tetraodontidae': 1.05, 'Pseudochromidae': 0.08}","Exposure, Reef Type, Reef Zone belum sesuai",,Coral/Algae,Sheltered Reef Slope,-0.09117,0.74514,0.56823,0.07809,-1.31639,-2.43212,3.597631736,1054.665039,10.12926865,2003.542455,0,8,0.667307398,c471eb73-dd4d-40a2-8673-c4ff792aa1ef,3d5c8a36-b56a-4715-ae31-9a87db997e4d,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96f27ff6-daf6-4951-8b7b-7829d0006bd9,c471eb73-dd4d-40a2-8673-c4ff792aa1ef,public summary
Liang Ngali 2014,Indonesia,Liang S1,-8.5329,117.65367,semi-exposed,fringing,fore reef,2014,6,23,,,,4,Protection,Zona Perlindungan Bahari,2014,,"community, local government, government, NGO",full,no take,4,156.01,"{'omnivore': 18.74, 'piscivore': 3.79, 'planktivore': 95.89, 'invertivore-mobile': 23.72, 'invertivore-sessile': 1.94, 'herbivore-detritivore': 11.93}","{'Labridae': 7.97, 'Apogonidae': 6.85, 'Blenniidae': 0.38, 'Serranidae': 4.31, 'Lethrinidae': 1.27, 'Caesioinidae': 57.26, 'Nemipteridae': 5.46, 'Pomacanthidae': 0.89, 'Pomacentridae': 68.34, 'Chaetodontidae': 3.29}","Exposure, Reef Type, Reef Zone belum sesuai",,Coral/Algae,Back Reef Slope,-0.181220003,0.264780004,0.56823001,0.072970001,-2.056340035,-3.258350055,2.827492095,2580.036665,13.75691246,5734.8832,0,0,0.562663464,c0d34c21-1fc1-4fbb-a91c-1cf9a80f5d4e,13a851e3-b825-4f4f-9065-ab348cadddb9,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96f27ff6-daf6-4951-8b7b-7829d0006bd9,c0d34c21-1fc1-4fbb-a91c-1cf9a80f5d4e,public summary
Liang Ngali 2014,Indonesia,Liang S2,-8.524067,117.677017,semi-exposed,fringing,fore reef,2014,6,23,,,,4,Protection,Zona Perlindungan Bahari,2014,,"community, local government, government, NGO",full,no take,4,226.7,"{'omnivore': 38.77, 'piscivore': 13.82, 'planktivore': 62.07, 'invertivore-mobile': 28.54, 'invertivore-sessile': 11.54, 'herbivore-detritivore': 71.98}","{'Labridae': 20.02, 'Mullidae': 1.01, 'Scaridae': 52.6, 'Siganidae': 4.71, 'Apogonidae': 7.78, 'Balistidae': 0.58, 'Blenniidae': 0.24, 'Serranidae': 2.61, 'Acanthuridae': 0.41, 'Caesioinidae': 44.21, 'Nemipteridae': 9.61, 'Pomacanthidae': 2.33, 'Pomacentridae': 71.18, 'Chaetodontidae': 9.41}","Exposure, Reef Type, Reef Zone belum sesuai",,Coral/Algae,Back Reef Slope,-0.18122,0.26478,0.56823,0.07297,-2.05634,-3.25835,2.827492047,2580.036621,13.75691223,5734.883102,0,0,0.562663455,f8c195a2-6ef3-4f35-86d5-abed5c1b386a,69639417-0a9c-4ae2-b1bc-37b9eb74e86f,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96f27ff6-daf6-4951-8b7b-7829d0006bd9,f8c195a2-6ef3-4f35-86d5-abed5c1b386a,public summary
Liang Ngali 2014,Indonesia,Liang W,-8.4718397,117.644826,semi-exposed,fringing,fore reef,2014,6,11,,,,3,Protection,Zona Perlindungan Bahari,2014,,"community, local government, government, NGO",full,no take,4,161.52,"{'omnivore': 33.06, 'piscivore': 4.31, 'planktivore': 36.67, 'invertivore-mobile': 32.13, 'invertivore-sessile': 6.44, 'herbivore-detritivore': 48.92}","{'Labridae': 15.84, 'Mullidae': 0.59, 'Scaridae': 38.33, 'Siganidae': 2.45, 'Apogonidae': 13.04, 'Balistidae': 0.41, 'Blenniidae': 0.13, 'Lutjanidae': 1.03, 'Muraenidae': 0.46, 'Acanthuridae': 2.73, 'Caesioinidae': 11.35, 'Nemipteridae': 2.83, 'Holocentridae': 0.25, 'Pomacanthidae': 1.4, 'Pomacentridae': 56.55, 'Chaetodontidae': 14.14}","Exposure, Reef Type, Reef Zone belum sesuai",,Coral/Algae,Sheltered Reef Slope,-0.12854,0.26478,0.56747,0.07618,-1.51459,-2.70132,3.517126823,0,0,9856.092367,0,15,0.405547487,1121f25f-f6f3-4d6c-a255-11437749f03a,b33fa9dd-ff23-4a29-95c8-51defcafc306,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96f27ff6-daf6-4951-8b7b-7829d0006bd9,1121f25f-f6f3-4d6c-a255-11437749f03a,public summary
Liang Ngali 2014,Indonesia,Ngali E,-8.5355358,117.749333,semi-exposed,fringing,fore reef,2014,6,12,,,,3,Open Access,,2014,,,,open access,4,345.08,"{'omnivore': 76.59, 'piscivore': 49.2, 'planktivore': 33.46, 'invertivore-mobile': 114.65, 'invertivore-sessile': 10.3, 'herbivore-macroalgae': 1.8, 'herbivore-detritivore': 59.09}","{'Labridae': 41.18, 'Scaridae': 46.11, 'Siganidae': 8.46, 'Balistidae': 4.17, 'Lutjanidae': 47.2, 'Serranidae': 15.78, 'Lethrinidae': 3.79, 'Acanthuridae': 51.17, 'Nemipteridae': 44.05, 'Fistulariidae': 1.77, 'Monacanthidae': 0.91, 'Pomacanthidae': 2.87, 'Pomacentridae': 60.65, 'Chaetodontidae': 16.97}","Exposure, Reef Type, Reef Zone belum sesuai","Open access allows for fishing but still includes regulation of forbidden activities such as national bans on the use of beach seine netting, net mesh smaller than 2cm, shark netting... 
Full definitions of what ""open acess"" management allows for in specific areas is detailed in the Management plans for the WCS managed marine protected areas of Soariake (southwest), Ankarea (northwest) and Ankivonjy (northwest)
Management plans were originally established in 2013, 
The management plans include and promote the development of ""Dina"", which are community establish laws, that are homologised at the local government level in Madagascar. 
The management plans were revised in 2018 and are currently in final draft stages. 
WCS staff and employed community surveillance officers, (CCS), undertake weekly patrols and also undertake community awareness excercises.
WCS staff do not have the authority to legally intervene or enforce laws without the support of either Madagascan police or fisheries authorities, but joint patrols are organised in areas of concern or reported infractions.
WCS staff undertake regular monitoring of compliance using SMART since late 2017 in all MPAs and managed areas.",Rock,Sheltered Reef Slope,-0.17417,0.74514,0.56823,0.0715,-2.16804,-3.30904,2.543072236,2064.476318,11.98245335,3595.603091,0,0,0.55112051,7ce351eb-5628-446e-a059-70c6229d5a59,e453196d-4dd3-4feb-ad1a-8fa1c9d071f1,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,1bcda0b6-365c-40b2-a1dc-837d326a044a,7ce351eb-5628-446e-a059-70c6229d5a59,public summary
Liang Ngali 2014,Indonesia,Ngali N,-8.4748062,117.729244,semi-exposed,fringing,fore reef,2014,6,12,,,,3,Open Access,,2014,,,,open access,4,407.72,"{'omnivore': 79.81, 'piscivore': 36.44, 'planktivore': 79.78, 'invertivore-mobile': 124.29, 'invertivore-sessile': 19.15, 'herbivore-macroalgae': 1.8, 'herbivore-detritivore': 66.46}","{'Labridae': 21.13, 'Scaridae': 30.42, 'Siganidae': 6.08, 'Apogonidae': 0.21, 'Balistidae': 4.76, 'Lutjanidae': 36.88, 'Serranidae': 17.7, 'Lethrinidae': 1.9, 'Acanthuridae': 60.31, 'Nemipteridae': 72.66, 'Fistulariidae': 1.77, 'Monacanthidae': 2.02, 'Pomacanthidae': 2.68, 'Pomacentridae': 130.67, 'Chaetodontidae': 18.54}","Exposure, Reef Type, Reef Zone belum sesuai","Open access allows for fishing but still includes regulation of forbidden activities such as national bans on the use of beach seine netting, net mesh smaller than 2cm, shark netting... 
Full definitions of what ""open acess"" management allows for in specific areas is detailed in the Management plans for the WCS managed marine protected areas of Soariake (southwest), Ankarea (northwest) and Ankivonjy (northwest)
Management plans were originally established in 2013, 
The management plans include and promote the development of ""Dina"", which are community establish laws, that are homologised at the local government level in Madagascar. 
The management plans were revised in 2018 and are currently in final draft stages. 
WCS staff and employed community surveillance officers, (CCS), undertake weekly patrols and also undertake community awareness excercises.
WCS staff do not have the authority to legally intervene or enforce laws without the support of either Madagascan police or fisheries authorities, but joint patrols are organised in areas of concern or reported infractions.
WCS staff undertake regular monitoring of compliance using SMART since late 2017 in all MPAs and managed areas.",Rock,Sheltered Reef Slope,-0.13712,0.74514,0.56823,0.07313,-1.78003,-2.95216,2.90799696,1173.878052,9.13314724,1836.365669,0,0,0.537396646,e9cb0e5b-d136-4d35-97b7-e48cb62cafd6,542e15c0-95c7-4922-9e73-c4a94b415af4,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,1bcda0b6-365c-40b2-a1dc-837d326a044a,e9cb0e5b-d136-4d35-97b7-e48cb62cafd6,public summary
Liang Ngali 2014,Indonesia,Ngali W,-8.5073037,117.70825,semi-exposed,fringing,fore reef,2014,6,13,,,,3,Protection,Zona Perlindungan Bahari,2014,,"community, local government, government, NGO",full,no take,4,290.95,"{'omnivore': 71.9, 'piscivore': 35.0, 'planktivore': 42.07, 'invertivore-mobile': 63.36, 'invertivore-sessile': 8.09, 'herbivore-detritivore': 70.53}","{'Labridae': 32.52, 'Scaridae': 29.56, 'Siganidae': 2.38, 'Apogonidae': 6.1, 'Blenniidae': 0.06, 'Lutjanidae': 23.29, 'Serranidae': 5.42, 'Lethrinidae': 7.46, 'Acanthuridae': 13.71, 'Nemipteridae': 22.49, 'Pomacanthidae': 0.45, 'Pomacentridae': 138.44, 'Chaetodontidae': 7.98, 'Pseudochromidae': 1.1}","Exposure, Reef Type, Reef Zone belum sesuai",,Coral/Algae,Sheltered Reef Slope,-0.174169999,0.745139994,0.568229995,0.071499999,-2.168039982,-3.309039973,2.543072215,2064.476301,11.98245325,3595.603061,0,0,0.551120506,386e81fd-3bc8-4c4a-96cb-3a769cc43e28,3e4c0abc-8594-457b-9b6d-8c8138786bfc,9e99d7fc-8904-42e0-96ed-903b9771dcb8,,https://datamermaid.org/contact-project?project_id=9e99d7fc-8904-42e0-96ed-903b9771dcb8,"[{'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,96f27ff6-daf6-4951-8b7b-7829d0006bd9,386e81fd-3bc8-4c4a-96cb-3a769cc43e28,public summary
