project_name,country_name,site_name,latitude,longitude,reef_exposure,reef_type,reef_zone,sample_date_year,sample_date_month,sample_date_day,tide_name,visibility_name,current_name,depth_avg,management_name,management_name_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_unit_count,biomass_kgha_avg,biomass_kgha_by_trophic_group_avg,biomass_kgha_by_fish_family_avg,site_notes,management_notes,aca_benthic,aca_geomorphic,beyer_score,beyer_scorecn,beyer_scorecy,beyer_scorepfc,beyer_scoreth,beyer_scoretr,andrello_grav_nc,andrello_sediment,andrello_nutrient,andrello_pop_count,andrello_num_ports,andrello_reef_value,andrello_cumul_score,id,site_id,project_id,project_notes,contact_link,tags,country_id,management_id,sample_event_id,data_policy_beltfish
Karimunjawa NP 2019,Indonesia,Batu Putih,-5.80503,110.49186,semi-exposed,fringing,back reef,2019,3,31,low,5-10m - fair,low,5,Fisheries Utilization,,2005,0,"community, local government, government, NGO",low,gear restriction,6,351.09,"{'omnivore': 45.32, 'piscivore': 24.57, 'planktivore': 191.03, 'invertivore-mobile': 65.64, 'invertivore-sessile': 2.97, 'herbivore-detritivore': 21.57}","{'Labridae': 18.29, 'Mullidae': 0.44, 'Scaridae': 18.31, 'Apogonidae': 33.26, 'Lutjanidae': 15.24, 'Serranidae': 1.95, 'Lethrinidae': 8.14, 'Caesioinidae': 163.05, 'Nemipteridae': 3.53, 'Pomacanthidae': 0.41, 'Pomacentridae': 80.54, 'Chaetodontidae': 7.94}",,,Coral/Algae,Reef Slope,0.06599,-1.093280003,0.761780002,0.16184,0.688130002,0.576040002,9.049146228,11.33100894,0,39129.72913,0,5588.000016,0.578407075,dce1b749-41c9-48a6-a01f-5f192dd27943,21aec9f0-f376-4e17-89c2-c5b59c7cac07,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,8b90a8ba-87a0-4cb8-bf11-03828f53a54c,dce1b749-41c9-48a6-a01f-5f192dd27943,public summary
Karimunjawa NP 2019,Indonesia,Bengkoang,-5.74239,110.41747,exposed,fringing,fore reef,2019,4,1,low,>10m - excellent,moderate,5.5,Tourism,,2005,,"community, local government, government, NGO",low,no take,6,289.06,"{'omnivore': 37.47, 'piscivore': 34.99, 'planktivore': 39.56, 'invertivore-mobile': 56.15, 'invertivore-sessile': 12.73, 'herbivore-detritivore': 108.16}","{'Labridae': 21.0, 'Mullidae': 0.35, 'Scaridae': 77.33, 'Siganidae': 38.49, 'Apogonidae': 1.0, 'Lutjanidae': 22.15, 'Serranidae': 10.96, 'Lethrinidae': 8.07, 'Acanthuridae': 1.57, 'Caesioinidae': 30.47, 'Nemipteridae': 14.59, 'Pomacanthidae': 9.8, 'Pomacentridae': 40.45, 'Chaetodontidae': 12.84}",,,Coral/Algae,Sheltered Reef Slope,0.049709999,-1.093279988,0.761779992,0.161749998,0.512519994,0.443099995,7.968982622,0.69104027,0,3646.598348,0,93.99999896,0.50019602,525662ae-a6e7-45e2-ad9f-8fca7b0ec818,be415e09-e013-41a7-87f4-ba8cd9ee7dd6,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,525662ae-a6e7-45e2-ad9f-8fca7b0ec818,public summary
Karimunjawa NP 2019,Indonesia,Burung,-5.89102,110.34657,exposed,fringing,fore reef,2019,4,2,rising,>10m - excellent,low,5.5,Tourism,,2005,,"community, local government, government, NGO",low,no take,6,216.69,"{'omnivore': 38.71, 'piscivore': 13.67, 'planktivore': 56.53, 'invertivore-mobile': 33.29, 'invertivore-sessile': 16.6, 'herbivore-detritivore': 57.88}","{'Labridae': 20.38, 'Mullidae': 0.51, 'Scaridae': 46.53, 'Siganidae': 7.13, 'Apogonidae': 2.58, 'Ephippidae': 2.0, 'Lutjanidae': 6.75, 'Serranidae': 1.95, 'Acanthuridae': 7.55, 'Caesioinidae': 15.3, 'Nemipteridae': 10.05, 'Pomacanthidae': 13.26, 'Pomacentridae': 77.27, 'Chaetodontidae': 5.44}",,,,Sheltered Reef Slope,0.095349999,-0.298689997,0.761779992,0.152729998,0.704219993,0.620189994,9.717731158,0.63956409,0,807.6643747,0,26.99999972,0.464678512,40fcd6ac-c514-45d4-8a3e-b01fb703e1b9,7255077f-bfaf-4431-b6a7-9bd8b6e3f919,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,40fcd6ac-c514-45d4-8a3e-b01fb703e1b9,public summary
Karimunjawa NP 2019,Indonesia,Cemara Besar 1,-5.80675,110.37822,semi-exposed,fringing,back reef,2019,3,30,low,5-10m - fair,moderate,5.5,Protection,,2012,,"community, local government, government, NGO",somewhat,no take,6,223.49,"{'omnivore': 24.41, 'piscivore': 14.47, 'planktivore': 67.61, 'invertivore-mobile': 52.14, 'invertivore-sessile': 6.31, 'herbivore-detritivore': 58.54}","{'Labridae': 23.91, 'Mullidae': 0.36, 'Scaridae': 44.07, 'Siganidae': 8.89, 'Apogonidae': 5.25, 'Blenniidae': 1.03, 'Lutjanidae': 19.47, 'Serranidae': 1.57, 'Caesioinidae': 44.02, 'Nemipteridae': 11.12, 'Pomacanthidae': 3.04, 'Pomacentridae': 56.17, 'Chaetodontidae': 4.61}",,,Rock,Sheltered Reef Slope,0.089659999,-0.298689997,0.761779992,0.156579998,0.641409993,0.561019994,8.323100014,3.869975526,0,19318.77982,0,524.9999944,0.549402771,c8755afa-1bcb-4359-80f0-f1c2f417f35d,f30ced5f-2622-4060-b107-65d004e6c379,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,402fc76a-a363-4009-a2e3-aba2a38e14ed,c8755afa-1bcb-4359-80f0-f1c2f417f35d,public summary
Karimunjawa NP 2019,Indonesia,Cemara Besar 2,-5.8031,110.38098,semi-exposed,fringing,back reef,2019,4,1,rising,5-10m - fair,moderate,5,Tourism,,2005,,"community, local government, government, NGO",low,no take,6,364.24,"{'omnivore': 40.98, 'piscivore': 64.66, 'planktivore': 41.52, 'invertivore-mobile': 159.84, 'invertivore-sessile': 3.06, 'herbivore-detritivore': 54.18}","{'Labridae': 62.99, 'Scaridae': 12.17, 'Siganidae': 19.45, 'Apogonidae': 5.23, 'Blenniidae': 0.29, 'Haemulidae': 3.22, 'Lutjanidae': 38.06, 'Serranidae': 4.3, 'Acanthuridae': 3.42, 'Caesioinidae': 17.5, 'Nemipteridae': 93.13, 'Synodontidae': 0.08, 'Fistulariidae': 11.85, 'Holocentridae': 4.61, 'Pomacanthidae': 1.91, 'Pomacentridae': 79.95, 'Chaetodontidae': 6.1}",,,,Sheltered Reef Slope,0.089659999,-0.298689998,0.761779994,0.156579999,0.641409995,0.561019996,8.323100039,3.869975537,0,19318.77988,0,524.999996,0.549402773,318b74ee-29e2-44e2-b916-bea57720b1d3,9ec6f187-6d6c-49a8-aabe-7bc59695109e,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,318b74ee-29e2-44e2-b916-bea57720b1d3,public summary
Karimunjawa NP 2019,Indonesia,Cemara Kecil 1,-5.83129,110.38224,semi-exposed,fringing,fore reef,2019,4,1,falling,>10m - excellent,moderate,5,Tourism,,2005,,"community, local government, government, NGO",low,no take,6,230.17,"{'omnivore': 26.84, 'piscivore': 23.12, 'planktivore': 33.74, 'invertivore-mobile': 40.23, 'invertivore-sessile': 20.62, 'herbivore-detritivore': 85.63}","{'Labridae': 21.05, 'Mullidae': 0.6, 'Scaridae': 68.13, 'Siganidae': 5.26, 'Blenniidae': 0.49, 'Lutjanidae': 3.24, 'Serranidae': 5.11, 'Lethrinidae': 1.74, 'Acanthuridae': 0.36, 'Nemipteridae': 17.19, 'Holocentridae': 14.53, 'Pomacanthidae': 12.59, 'Pomacentridae': 75.44, 'Chaetodontidae': 4.44}",,,,Plateau,0.089660001,-0.298690002,0.761780004,0.156580001,0.641410004,0.561020003,8.323100149,3.869975588,0,19318.78014,0,525.0000029,0.54940278,3f6671e3-56ac-4272-bd44-7315aaf7c3aa,b0936fb0-c0c3-41d8-a4f5-86c7a4104f08,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,3f6671e3-56ac-4272-bd44-7315aaf7c3aa,public summary
Karimunjawa NP 2019,Indonesia,Cemara Kecil 2,-5.833226,110.381165,semi-exposed,fringing,fore reef,2019,4,3,low,>10m - excellent,low,5,Protection,,2012,,"community, local government, government, NGO",somewhat,no take,6,216.05,"{'omnivore': 44.47, 'piscivore': 32.23, 'planktivore': 9.69, 'invertivore-mobile': 51.94, 'invertivore-sessile': 4.94, 'herbivore-macroalgae': 0.51, 'herbivore-detritivore': 72.27}","{'Labridae': 18.83, 'Mullidae': 0.63, 'Scaridae': 70.1, 'Siganidae': 6.33, 'Apogonidae': 10.05, 'Ephippidae': 3.86, 'Lutjanidae': 25.8, 'Serranidae': 1.82, 'Nemipteridae': 15.91, 'Holocentridae': 8.23, 'Pomacanthidae': 3.88, 'Pomacentridae': 46.16, 'Chaetodontidae': 4.45}",,,Coral/Algae,Reef Slope,0.089660002,-0.298690005,0.761780014,0.156580003,0.641410011,0.56102001,8.323100252,3.869975636,0,19318.78037,0,525.0000094,0.549402787,d139a970-e86b-4b15-92b2-7603e712e768,a28506df-de01-412e-967a-dddf4e9e52a6,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,402fc76a-a363-4009-a2e3-aba2a38e14ed,d139a970-e86b-4b15-92b2-7603e712e768,public summary
Karimunjawa NP 2019,Indonesia,Cendekian,-5.80419,110.55876,exposed,fringing,fore reef,2019,3,27,low,>10m - excellent,low,5.5,Open access,,2005,,"community, local government, government, NGO",none,open access,6,259.98,"{'omnivore': 38.61, 'piscivore': 20.74, 'planktivore': 52.14, 'invertivore-mobile': 47.52, 'invertivore-sessile': 21.27, 'herbivore-detritivore': 79.7}","{'Labridae': 20.47, 'Scaridae': 79.54, 'Siganidae': 8.5, 'Apogonidae': 2.45, 'Balistidae': 0.6, 'Lutjanidae': 12.84, 'Serranidae': 1.79, 'Diodontidae': 0.3, 'Acanthuridae': 9.17, 'Caesioinidae': 37.06, 'Nemipteridae': 20.44, 'Fistulariidae': 2.45, 'Monacanthidae': 0.4, 'Pomacanthidae': 20.9, 'Pomacentridae': 35.85, 'Chaetodontidae': 7.23}",,,Coral/Algae,Sheltered Reef Slope,0.06847,-1.093280004,0.761780003,0.166980001,0.723140003,0.525670002,9.612508236,1.376556044,0,3564.977607,0,94.00000037,0.50680287,32583c93-1a7c-4b36-b513-5009aa9463f6,033d6633-514a-49b8-9f07-909a3b5de4ec,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,53a6cfee-c85d-44d3-9040-ddd9422ff79c,32583c93-1a7c-4b36-b513-5009aa9463f6,public summary
Karimunjawa NP 2019,Indonesia,Gelean,-5.88023,110.3594,exposed,fringing,fore reef,2019,4,2,low,>10m - excellent,low,5.5,Tourism,,2005,,"community, local government, government, NGO",low,no take,6,379.96,"{'omnivore': 83.17, 'piscivore': 48.07, 'planktivore': 129.56, 'invertivore-mobile': 56.75, 'invertivore-sessile': 11.3, 'herbivore-detritivore': 51.12}","{'Labridae': 18.35, 'Scaridae': 44.26, 'Siganidae': 5.7, 'Apogonidae': 25.3, 'Lutjanidae': 13.51, 'Serranidae': 19.97, 'Caesioinidae': 67.87, 'Nemipteridae': 19.88, 'Pomacanthidae': 5.03, 'Pomacentridae': 154.25, 'Chaetodontidae': 5.09, 'Tetraodontidae': 0.76}",,,Coral/Algae,Sheltered Reef Slope,0.09651,-0.29869,0.761780001,0.15534,0.709730001,0.652940001,9.995258165,3.891324525,0,21252.17861,0,830.000001,0.55661375,941e140f-22f2-427b-93f2-a2514adf61a1,74016147-73a9-4966-96d9-9c10f4813932,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,a7e261a4-01a9-4ddb-b4b8-f7a57a17ad4d,941e140f-22f2-427b-93f2-a2514adf61a1,public summary
Karimunjawa NP 2019,Indonesia,Genting 1,-5.86211,110.60538,sheltered,fringing,back reef,2019,3,26,low,5-10m - fair,low,5,Open access,,2005,,"community, local government, government, NGO",none,open access,6,183.75,"{'omnivore': 23.8, 'piscivore': 36.77, 'planktivore': 1.12, 'invertivore-mobile': 21.12, 'invertivore-sessile': 5.4, 'herbivore-macroalgae': 6.63, 'herbivore-detritivore': 88.92}","{'Labridae': 14.34, 'Scaridae': 82.33, 'Siganidae': 12.94, 'Apogonidae': 2.6, 'Kyphosidae': 6.63, 'Lutjanidae': 13.82, 'Serranidae': 16.58, 'Acanthuridae': 5.99, 'Nemipteridae': 3.15, 'Pomacanthidae': 4.29, 'Pomacentridae': 17.11, 'Chaetodontidae': 3.98}",,,Coral/Algae,Reef Slope,0.102179999,-0.338069996,0.761779992,0.168189998,0.795459991,0.592659993,10.5521876,0.132556258,0,2819.932067,0,44.9999995,0.488006789,cbce6283-cb27-436e-970b-57b551387b87,a7635ca1-d01e-42ee-be07-57f7041c10c1,507d1af9-edbd-417e-a65c-350f8bba1299,,https://datamermaid.org/contact-project?project_id=507d1af9-edbd-417e-a65c-350f8bba1299,"[{'id': 'f6ee519b-d993-4944-84c1-2fdb960c4530', 'name': 'Vibrant Oceans'}, {'id': 'e44cbd3d-e3ca-451d-aef2-200623fe265b', 'name': 'WCS Indonesia'}]",c570ff86-4992-4fa1-939a-3ce433f80dcb,53a6cfee-c85d-44d3-9040-ddd9422ff79c,cbce6283-cb27-436e-970b-57b551387b87,public summary
