"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7017","7342","7755","4570","4450","4100","2603","1941","1230","1250","1135","2033","2026","2197","1485","1633","1031","989","1406","4715","5701","5859","5617","7095","9711","15799","18720","23270","20139","17054","17369","18270","18892","",
"American Samoa","ASM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","100","82","136","113","202","193","183","148","153","112","112","152","118","181","78","123","102","42","50","60","40","132","176","225","448","610","554","851","3677","6949","5099","4051","4029","5367","6537","4442","4962","5140.78","3607.12","4391.96","2861.43","2446.77","4377.95","2272.27","2337.88","2048.42","1454.78","891.17","",
"Antigua and Barbuda","ATG","Total fisheries production (metric tons)","ER.FSH.PROD.MT","600","800","800","800","700","800","800","800","800","800","900","900","1200","1500","1590","1601","1613","1821","1620","1219","1171","1157","950","1063","1465","2407","2400","1985","1488","990","875","1481","1692","1046","1100","1581","1439","1644","1680","1631","1728","1802","2348","2546","2478","2953","3049","3047","3397","2424","2227","3067","5969","4624","3135","3185","3185","3185","3185","3185","3185","",
"Australia","AUS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","61345","61778","67136","72999","73332","83876","95708","99757","110337","98579","104218","115969","126697","128690","143486","113404","115016","147697","140839","146614","145867","162333","180767","178157","185799","172379","192817","222489","232526","210964","246942","258397","266556","266979","239526","250116","245323","247004","252579.44","268934","238463","241110","246424.04","264477.63","288642.05","295838.28","264549.48","248435.43","244446.78","250772.65","256785.25","253697.17","249457.7","240302.86","229722.5","245506.07","273821.66","265382.1","273843.8","264515.84","285925.28","",
"Austria","AUT","Total fisheries production (metric tons)","ER.FSH.PROD.MT","4200","4200","4500","4600","4900","5100","4900","4200","4000","3500","3200","2900","2600","2200","2070","2040","2360","2470","3700","4100","4300","4400","4500","4700","4700","4800","4700","4600","5100","5000","3659","3635","3619","3560","3491","3322","3399","3483","3360","3499","3286","2755","2683","2605","2667","2790","2863","2889","2437","2491","2517","3254.3","3425.5","3587","3740.3","3853.4","3833.4","4211.6","4340.6","4600.04","4877.37","",
"Azerbaijan","AZE","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56996","54406","41665","39663","32029","22934","19939","11061","7121","5525","4971","21082","18937","10988","11268","6565","9608","9501","4661","3849","2524","2206","2131","1578","1277.1","1182","1234","1187.2","1379","1660","2092","1708.4","2622","",
"Burundi","BDI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","9200","5300","7200","10600","9700","20200","16600","12300","15000","15600","13300","16900","7500","8500","10982","14547","20333","18900","15682","11250","14767","11880","12131","11366","11363","11371","11861","12034","11701","10787","17425","21044","24123","17050","22050","21151","3091","20346","13476","9249","17365","9014","11050","14747","13905","13450","13028","11359","18315","12665","17322.3","10715.7","12469.4","13617","16859","21446","23205","20469","21860","21927","21039","",
"Belgium","BEL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","63700","61600","59900","62000","59500","59700","62800","63800","68200","58700","53000","60200","59000","53300","46820","49031","44503","45372","50597","47157","45705","49426","48044","48835","48181","45555","39996","40831","42241","40368","42135","40737","37966","36935","35100","36445","31769","31346","31681","31473","31671","32039","30862","28092","27474","24981","23147","24669","22735","22298","22957","22578","24936","25874","27007","24803","27014","24724","23116","21436","20162.8","",
"Benin","BEN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","26000","28000","30000","25000","26000","20000","18800","35600","35900","36600","43110","43404","43202","40673","39402","37533","37104","36528","35879","35700","37832","37768","37521","34628","35290","36371","38753","41903","37346","41860","38234","35083","32488","39221","39923","44379","42175","43785","42139","40437","32324","38415","40670","41655","39995","31847","41922","36564","37708","39236","40155","39248","40864","43083","49008","40936.66","54013","52732.66","60073.14","79227.35","76951.91","",
"Burkina Faso","BFA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2000","2500","2500","3000","3500","3500","4000","4500","4500","4500","5000","5000","4000","5000","5000","5000","6000","6000","7000","7000","6500","7500","7000","7214","7374","7433","7630","7826","7907","8006","7006","7005","7505","7000","8000","8000","8030","8045","8375","7625","8505","8505","8505","9005","9005","9065","9750","10548","11568","12075","14800","16360","20602","20820","21001","21030","22210","25720","27847","28383","29755","",
"Bangladesh","BGD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","400570","450640","500720","500810","550910","601030","601150","601300","651460","651650","690100","740100","818100","820200","822082","640070","641605","643769","646895","647128","646970","651256","689498","726587","750196","766081","793191","805285","830593","839944","846144","900720","936195","1002567","1034980","1109462","1193874","1315290","1413953","1552417","1661384","1781057","1890459","1998197","2102026","2215957","2328545","2440011","2563296","2885864","3035101","3124677","3261781","3410254","3548115","3684245","3878324","4134436","4276641","4384219","4503371","",
"Bulgaria","BGR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","8700","8100","9600","7500","13700","21183","27375","44881","61484","84473","94201","100704","111017","102010","118559","158121","167144","137997","99028","86107","125187","106673","115618","121126","115567","100223","109452","111652","118018","102966","57103","57854","32148","21555","12685","12627","13581","16674","23198","18336","12317","11612","17316","16500","10741","8579","10801","12935","14021","15700.52","18689.63","15150.41","15556.16","21821.58","19859.18","22365.27","24376.38","24311.18","24940.73","26843.24","21347.59","",
"Bahrain","BHR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1500","1500","1500","1800","1800","2000","2500","2800","3000","3300","3500","3600","3700","3800","3900","4000","4084","4837","4000","3801","5115","5747","5594","4812","5599","7763","8057","7842","6736","9207","8105","7553","7983","8958","7628","9393","12943","10050","9850","10623","11730","11230","11207","13642","14497","11858","15595","15014","14178","16358","13493.19","9918.42","27092.72","14976","15859.7","15546","15014.21","15005.5","15005.5","14855.5","14419.5","",
"Bahamas, The","BHS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1600","1500","1600","1700","1900","2950","3800","2950","2750","2350","2750","2950","3300","4400","4663","4693","4750","5327","5114","5765","7119","7631.79","7737.04","8548.15","8440.07","11206.82","8695.9","10557.03","10515.66","9857.61","9758.18","11895.54","12215.54","13703.94","14931.02","13269.48","14100.15","14720.59","14578.69","13668","15529","13684","15700","16776","15194","15640","16294","10942","14833","13826.83","16343.44","15314","16757.83","12766","11887.57","11316.62","11634","11485.94","11005.53","10151.91","7439.16","",
"Bosnia and Herzegovina","BIH","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","201","201","201","201","252","253","254","255","255","255","4940","6890","6699","7375","7926","7747","7894","7925","7925","5275.2","3943.3","3228.5","3702","4755.6","4868.6","4065.4","3943.8","4262.4","4080.8","",
"Belarus","BLR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19000","21457","19626","15543","9922","10011","7721","6178","6859","4821","5184","5804","7269","5610","7543","6196","4733","6242","9051","14780","15445","16485","17162","17415","16464","14245","11424","9999.9","11887.3","11126.8","12381.3","10252.7","10205.38","",
"Belize","BLZ","Total fisheries production (metric tons)","ER.FSH.PROD.MT","900","600","800","900","900","800","900","1300","1300","1600","1500","1800","1900","1600","1618","1603","1613","3082","2808","2554","2066","2252","2288","2641","2672","2427","1861","2059","2151","2312","2132","2679","2715","4573","8326","10669","13172","26185","28242","54990","33952","35206","88760","53518","81472","111585","193397","308817","368802","309942","407338.7","282596.29","177822.85","41853.6","83413.95","101727.25","92577.52","121705.06","217520.04","214551.32","187464.16","",
"Bermuda","BMU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","700","500","1300","1400","1900","1800","1700","1500","1300","1200","1100","1300","1500","1500","1050","1050","1250","1550","1550","3650","4379","5617","4105","4105","4105","4170","3871","4271","4427","6024","7424","5367","5171","6167","5970","6308","6368","6425","6440","6450","6511","6260","6718","6974","6886","6790","6535","6355","7381","8343","7802","7643","7880","8247","8390","10167.5","10430","10680","11150","11725","11220","",
"Brazil","BRA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","251000","275100","379400","335588","368976","388912","393162","419796","495176","492303","573040","613469","620167","760012","715188","752790","660241","731716","754655","783573","808606","811565","831884","881274","960569","967557","957550","947992","830102","798638","640295","671510","670333","676441","701251","652910","693172","732261","710704","744598","839296","935946","1003260","985412","1015916","1008045","1050810","1072225","1123445","1190539","1197146","1196780","1299470.47","1247652.01","1337514.97","1288747.09","1261768.96","1283376.44","1295929.27","1310635.21","1339590.84","",
"Barbados","BRB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","5213","4613","4713","2813","2113","2613","4813","4613","3213","3013","2313","2313","2313","2613","2668","4223","4952","3188","3597","4267","3747","3423","3492","6534","5784","3832","4112","3610","8939","2585","3029","2292","3585","3225","2829","3592","3523","2820","3655","3281","3185","2731","2530","2849","2159","2193","1988","2237","3564","3509","3282","1828.39","1371.13","2990.36","2226.82","1519.45","1760.98","1721.82","1701.17","1522.08","1542.1","",
"Brunei Darussalam","BRN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","800","900","900","1000","1000","1100","1200","1200","1300","1300","1500","1500","1500","1500","1560","1570","1644","2193","2704","2792","2225","2367","2357","3055","3425","3967","4106","3916","2042","2318","2354","1652","1709","1764","4517","4822","5848","4678","5221","3380","2600","1696","2215","1949","2632","3163","2754","3172","2830","2391","2850.98","2684","5073","3386.85","3897.07","4353.14","14239.63","13496","14811.99","14623.57","16591.07","",
"Bhutan","BTN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","100","100","100","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","145","140","135","130","125","120","115","125","117","131","130","125","115","110","105","100","95","90","85","80","75","70","65","70","65","60","55","56","54","52","79","80.34","72.8","144","156","197","238","238.62","224.27","196","",
"Botswana","BWA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","400","400","500","500","500","500","600","600","800","800","800","1100","1200","1200","1200","1200","1600","1500","1000","1000","1250","1450","1400","1250","1500","1500","1700","1900","1900","1600","1300","1000","800","600","400","200","81","160","191","157","166","118","139","122","161","132","81","122","86","73","60","234","378","431","1168","101","53","58","63","73","179","",
"Central African Republic","CAF","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2000","2000","2000","2500","2500","3000","4000","5000","5000","6000","7000","8000","8000","10000","11883","8049","10480","13030","13047","13064","13080","13094","13111","13128","13309","13288","13193","13088","13079","13082","13105","13605","13338","13551","13755","13960","14150","14330","14580","15117","15120","17125","19125","21125","23125","25125","27140","29140","31140","33140","35170","35170","32182","30195","29195","28195","29205","29205","29219","29219","29219","",
"Canada","CAN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","931042","1036870","1123387","1213157","1213316","1242713","1358682","1296355","1495890","1404864","1396089","1317649","1174655","1169095","1045856","1031900","1134435","1271867","1408150","1450442","1376925","1448401","1430442","1375319","1312249","1482788","1544397","1631973","1728032","1682396","1726748","1548466","1375876","1214701","1112524","945560","998319","1082952","1122419","1160246","1160351","1229970","1277887","1321586","1358662","1300181","1294235","1197468","1123423","1149101","1138105","1109394.33","1019314.23","1061189.36","1024614.53","1055181.5","1085165.43","1043756.29","1051260.15","980163.12","910687.32","",
"Central Europe and the Baltics","CEB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","245611","251722","244516","292337","335341","381021","425630","459789","539022","566117","652471","716370","768424","812116","957319","1126574","1077259","986948","850318","897313","972945","961093","1002704","1148640","1107562","1053084","1061725","1084902","2435114","2262253","1838359","1878532","1180162.08","958208.27","901936.01","943987.05","822440","755817.49","678129.08","691542.19","691529.24","757069.12","740591.54","684415.04","722991.12","707900.09","701723.3","773618.08","776304.79","854677.73","782992.39","771320.89","620043.39","707284.08","758228.74","674267.8","751543.6","756168.74","762633.74","751335.93","717875.36","",
"Switzerland","CHE","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2500","2800","2800","3300","2800","2700","3000","3000","3500","3500","2400","2800","3600","3600","3800","3900","3915","3982","3820","3890","3500","3676","3369","3540","4113","4564","4657","4523","4227","4483","4228","4829","3945","2957","2716","2749","3002","3009","2959","2975","2759","2850","2679","2915","2807","2952","2904","2869","3300","3433","3362","3564","3474","3600","3576","3616","3584","3665","3396","3430.44","3534.03","",
"Channel Islands","CHI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","800","1000","1000","1000","1000","1200","1200","1200","1200","1200","1300","1300","1300","1700","1625","1449","1368","2004","2688","2704","2906","2800","2241","3477","3669","3024","2333","2390","2756","2923","3072","2872","2885","2935","2886","3063","4537","4368","4313","3850","3979","4414","4029","4210","3976","4155","4128","4357","4200","3673.6","4503.2","4067.1","3837.24","3821.13","4300.75","4343.2","4484.65","4108.2","4669.6","4428.2","3180.72","",
"Chile","CHL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","346822","440905","643697","773891","1176119","729277","1404860","1085695","1392284","1110093","1230468","1516362","820980","694470","1171969","970553","1436857","1378970","1989159","2697021","2892854","3503373","3846789","4167505","4674028","4986865","5695537","4931660","5375983","6632640","5424055","6166043","6627364","6191764","8021446","7890723","7232746","6365709","3824607","5587316","4972652","4663433","5132740","4528441","6013542","5477533","5294185","4939020","4810224","4702902","3761557","4436495","4083083.31","3334593.04","3820107","3189300","2876719.41","3554763.22","3657643.76","3787588.99","3688254.11","",
"China","CHN","Total fisheries production (metric tons)","ER.FSH.PROD.MT","3173600","3173600","3280400","3348000","3483200","3690000","3825200","3825200","3931900","4067100","3970690","4494570","4996282","4922582","5360583","5654493","5703574","6411153","6438622","5973332","6252312","6174007","6766618","7327544","8211953","9236137","10416481","11733919","13189029","14326208","15107495","17147309","20607711","24697356","29231422","33865204","37799524","38467260","41144461","43209033","44573574","45506377","47586869","49490650","51958654","53793997","55906797.49","57517796.3","59230149.73","61125855.71","62843813.78","64411221.25","67528903.81","70662625.2","73683870.14","76016876.27","78337639.43","79935166.11","80966168.45","82593752","83929521.5","",
"Cote d'Ivoire","CIV","Total fisheries production (metric tons)","ER.FSH.PROD.MT","40500","42100","43600","45600","54600","59500","60800","66100","68400","67400","64302","77530","75199","60763","66690","58590","75917","67054","65012","73621","70068","75586","73753","79858","73701","101927","103648","101682","89506","99171","95100","83108","87345","70174","74095","70575","73839","67617","73390","79273","81520","77030","70676","69769","55267","43531","55696","48590","45089","44233","49738","55862","56234.86","65052.58","78568.87","102549.44","108654.27","99271.12","113626.35","113654.05","108031.36","",
"Cameroon","CMR","Total fisheries production (metric tons)","ER.FSH.PROD.MT","51700","56500","58100","59400","59800","61100","62600","63400","65100","68100","68800","64700","60400","57600","55736","66280","70397","70172","68878","81236","81085","79818","83101","77397","75581","74099","72104","70773","70966","69967","70848","69392","72032","65307","79070","94188","98587","102067","106867","110067","112159","121181","130465","118186","129395","142747","137667","139158","155846","172546","181570","190571","199840","208195","216575","225955","235505","269251","284702","300060.82","285186","",
"Congo, Dem. Rep.","COD","Total fisheries production (metric tons)","ER.FSH.PROD.MT","77000","75000","77000","69500","75000","81000","84000","93400","127700","149300","136600","123900","124200","156900","128810","113380","117858","107000","108706","115182","102415","102640","100700","102000","148300","148456","156514","162300","162600","167000","163400","166550","188570","197489","156547","159227","163610","163211","179874","210441","246695","234122","240655","237340","238717","237829","237582","237272.5","234472","231388","227516","224280","220929","230333","232533","233733","240598","241280","241330","241440","221340","",
"Congo, Rep.","COG","Total fisheries production (metric tons)","ER.FSH.PROD.MT","11000","11000","12600","12500","13600","14000","14200","13600","14100","13900","14399","16010","24526","22200","23718","23103","26869","24364","26297","29630","31965","29665","30835","35255","32854","29939","32083","37852","41977","45840","48210","45577","40183","46982","42785","45915","45579","38181","43095","43699","46024","48894","51995","53934","57096","54696","59103","59241","54319","61461","65471","73568","81555","73791","74056","69928","87477","95727","99374","71080.84","71537.35","",
"Colombia","COL","Total fisheries production (metric tons)","ER.FSH.PROD.MT","29800","43300","52000","47700","50300","53500","59200","86200","83600","57600","54500","37700","110700","105300","62418","66575","75109","63972","79590","63411","76224","94731","71442","57639","79289","71696.32","83645.48","86068.34","89930.34","97732.3","130129","115802","168235","148940.5","125420.5","167636","160089","191763","180549","180373","198847","203824","181959","191042","172564","182002","174129","188220","181092","187073","161535","171172","161658","160104","184881","177808","176023","206708.5","202138.21","272619.95","256665.73","",
"Comoros","COM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1600","1600","1500","2000","2500","3500","4000","5900","4900","4000","5181","4153","4078","8333","3428","3900","3800","6000","7000","7476","8837","14730","12453","11863","10730","10190","7335","7312","6387","8614","6579.04","7378.1","6573","7000","8256","8495","9255","9705","9424","10360","10586","8676","8851","8136","11031","21931","19826","20127","21119","19213","21412","23077","20943","35984","35677","37742","27407","18617","26405","17093","19313.98","",
"Costa Rica","CRI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2200","2400","2500","2400","3600","3400","3300","3500","5000","4100","8100","10560","12550","12360","15554","16174","14201","15401","22655","20785","16453","16051","12625","11187","16575","20489","23057","17240","17069","17440","18943","18018","18254","19507","21044","24197","31321","33696","32557","37353","44871","44536","50937","50102","44708","45527","39157","45516","48464","44568.3","44755","41641.5","42332","48910","41511.5","38309.5","33988.61","33622.83","36377.57","39814.97","33663.82","",
"Caribbean small states","CSS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","31823","38713","38563","36463","38023","41573","45093","46373","47763","50563","53532","52182","56852","59650","63999","65490","61411","75415","76607","72800","69658","69328.79","69709.04","77034.15","79237.07","83675.82","80005.9","85598.03","96946.66","96159.61","102806.18","109532.54","114590.54","118635.94","139415.02","136536.48","140151.15","161632.59","198633.69","212397","181490","210486","281228","245734","308390.5","301870.5","397424.74","508901.99","552365.13","502404.67","636308.24","526669.8","356844.1","242372.78","354888.88","356082.49","320498.52","387269.27","353372.33","335275.66","303263.95","",
"Cuba","CUB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","31200","30600","35000","35612","37165","41080","43826","65975","66250","78919","104500","127110","139711","150387","164629","144053","194490","184759","213176","153701","186450","164834","195296","198494","199858.3","219862.9","244558.3","214773.6","231091.1","191882.9","188067.8","171061.6","111943.8","97708.3","93974.4","102342.2","120560.8","113168.5","98341.1","100811.1","101266","80277","59630","60985","59756","50869","54797","67011","65399","64894","55418","48703.8","48499.2","51680.7","56338.6","57690","52759","52758","51249","45646.7","46386.2","",
"Curacao","CUW","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22074","25071.89","26196.68","28495.27","30159.19","35534.66","32626.13","37911.03","29213.84","23049.82","",
"Cayman Islands","CYM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Total fisheries production (metric tons)","ER.FSH.PROD.MT","500","400","600","600","600","1006","1009","1014","1412","1409","1363","1255","1340","1459","1221","950","1083","1220","1276","1314","1339","1462","1591","1988.77","2266","2438","2598.39","2593","2563","2625","2709","3048","9491","10275","9718","9772","13313","25788","20482","41060","70223","56606","142941","49561","82269","64933","33547","5646","5399","5107.5","5548.8","5854.98","5656.71","6522.1","6102.34","6946.54","8120.86","9031.11","8837.04","9579.32","8608.41","",
"Czechia","CZE","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23427","22610","22608","21724","20881","21183","22965","24129","24744","24193","24797","23912","24697","25077","24723","24559","24183","24410","24869","24796","23118.4","23947","24041","24459","25242","25401","24707","24130","",
"Germany","DEU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","787910","748670","782420","837580","850030","864690","881650","951500","986660","970714","939498","846312","761507","850953","897600","828055","744507","655548","625086","590774","562566","585026","551637","544751","553756","426457","415388","399721","393112","412656","390739","310593","313544","322510","279013","303985","319648","324785","339107","317421","269975","262551","271624","331927","315576","326053","328416","335505","318258","282954","283840","273024","240768","260396","268775","291653","312986","284216","313409","265150.8","244352.66","",
"Djibouti","DJI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","500","500","600","600","600","500","500","500","600","600","500","600","700","800","900","1001","1024","1047","1070","642","1445","1514","1545","800","700","640","644","500","500","500","458","552","717","797","885","954","1034","1084","1217","1205","1207","1212","1211","963","718","598","718","701","723","796","711","668","631","533","1035","996","815","784","762","860.4","854.1","",
