Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Benthic_length_m,Benthic_area_m2,Fish_area_m2,Invertebrate_area_m2,Hardcoral_percent,Softcoral_percent,Reckilledcoral_percent,Macroalgae_percent,Corallinealgae_percent,Other_percent,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no,Diadema_no,Acanthaster_no,Tridacnidae_no
Indonesia,North_Maluku Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,66,9,11,0,0,14,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,10,29,8,0,0,53,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Guraici,"0° 1' 35,200"" S","127° 14' 18,200"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,9,44,4,0,0,43,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,16,45,7,0,0,32,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,16,35,14,0,0,35,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,11,56,8,0,0,25,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,20,7,70,0,0,3,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,15,5,73,0,0,7,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,33,5,59,0,0,3,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",7,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,16,6,7,2,0,69,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",7,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,36,4,3,19,0,38,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",7,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,43,10,5,0,0,42,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,70,1,0,0,0,29,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,42,1,5,0,0,52,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,65,2,4,0,0,29,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,45,12,5,0,0,38,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,26,12,9,0,0,53,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,19,6,10,0,0,65,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,43,7,5,0,0,45,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,35,3,6,0,0,56,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,37,16,8,0,0,39,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,South_Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,34,11,3,0,0,52,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,South_Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,25,21,1,0,0,53,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,South_Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",8,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,12,39,3,0,0,46,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,South_Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,51,30,3,0,0,16,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,South_Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,66,2,7,2,0,23,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,South_Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,47,30,15,0,0,8,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",8,NA,MPA,2017,4,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,39,3,4,18,0,36,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",8,NA,MPA,2017,4,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,29,9,11,15,0,36,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",8,NA,MPA,2017,4,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,11,0,27,8,0,54,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",4,NA,MPA,2017,4,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,20,33,6,15,0,26,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",4,NA,MPA,2017,4,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,16,34,8,24,0,18,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Tamako,"0° 6' 32,638"" N","127° 8' 45,168"" E",4,NA,MPA,2017,4,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,7,17,7,38,0,31,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_1,"0° 4' 38,600"" S","127° 14' 30,300"" E",7,NA,MPA,2017,4,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,10,21,10,6,0,53,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_1,"0° 4' 38,600"" S","127° 14' 30,300"" E",7,NA,MPA,2017,4,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,29,35,1,0,0,35,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Taneti_1,"0° 4' 38,600"" S","127° 14' 30,300"" E",7,NA,MPA,2017,4,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,5,61,0,2,0,32,,,,,,,,NA,NA,NA
