Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Fish_area_m2,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,160,0,80,0,1000,0,0
Indonesia,North Maluku _Guraici,Gafi,"0° 9' 25,700"" N","127° 9' 27,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,360,0,0,0,160,40,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,200,0,0,0,700,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,200,0,0,0,3000,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,600,0,0,0,1300,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,200,0,0,0,14400,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,300,0,0,0,11000,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",8,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,500,0,0,0,0,0,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,1120,0,0,0,360,480,0
Indonesia,North Maluku _Guraici,Gunange,"0° 2' 1,600"" N","127° 13' 43,800"" E",3,Fringing,MPA,2017,4,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,280,0,120,0,1560,240,0
