site_name,latitude,longitude,sample_date_year,sample_date_month,sample_date_day,reef_exposure,reef_type,reef_zone,depth_avg,percent_cover_by_benthic_category_avg
MORAM3,-4.11564,122.82211,2021,3,28,exposed,fringing,back reef,6,"{'Sand': 3.67, 'Other': 0.0, 'Rubble': 23.0, 'Seagrass': 0.0, 'Hard coral': 46.0, 'Macroalgae': 4.0, 'Soft coral': 3.0, 'Turf algae': 6.67, 'Cyanobacteria': 0.0, 'Bare substrate': 12.0, 'Other invertebrates': 1.67, 'Crustose coralline algae': 0.0}"
MORAM5,-4.15096,122.76029,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 3.33, 'Other': 0.0, 'Rubble': 6.33, 'Seagrass': 0.0, 'Hard coral': 71.0, 'Macroalgae': 2.33, 'Soft coral': 6.33, 'Turf algae': 1.0, 'Cyanobacteria': 0.0, 'Bare substrate': 9.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
MORAM6,-4.12624,122.72997,2021,3,27,exposed,fringing,fore reef,8,"{'Sand': 3.67, 'Other': 0.0, 'Rubble': 6.33, 'Seagrass': 0.0, 'Hard coral': 54.0, 'Macroalgae': 29.33, 'Soft coral': 1.0, 'Turf algae': 2.0, 'Cyanobacteria': 0.0, 'Bare substrate': 3.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
MORAM7,-4.14972,122.80367,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 7.67, 'Other': 0.0, 'Rubble': 37.33, 'Seagrass': 0.0, 'Hard coral': 46.67, 'Macroalgae': 4.67, 'Soft coral': 1.33, 'Turf algae': 1.0, 'Cyanobacteria': 0.0, 'Bare substrate': 1.0, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
NTZ1,-4.38772,122.74915,2021,4,10,sheltered,fringing,fore reef,10,"{'Sand': 76.33, 'Other': 0.0, 'Rubble': 0.67, 'Seagrass': 0.0, 'Hard coral': 8.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 14.67, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
NTZ2,-4.41088,122.77388,2021,4,10,exposed,fringing,fore reef,10,"{'Sand': 17.33, 'Other': 0.0, 'Rubble': 11.33, 'Seagrass': 0.0, 'Hard coral': 40.0, 'Macroalgae': 3.67, 'Soft coral': 0.33, 'Turf algae': 1.67, 'Cyanobacteria': 0.0, 'Bare substrate': 24.67, 'Other invertebrates': 1.0, 'Crustose coralline algae': 0.0}"
NTZ3,-4.4373,122.84434,2021,4,11,exposed,fringing,fore reef,6,"{'Sand': 11.67, 'Other': 0.0, 'Rubble': 33.0, 'Seagrass': 0.0, 'Hard coral': 20.0, 'Macroalgae': 15.0, 'Soft coral': 6.33, 'Turf algae': 2.33, 'Cyanobacteria': 0.0, 'Bare substrate': 11.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
PASIK1,-4.96714,122.7837,2021,4,4,exposed,fringing,channel,5,"{'Sand': 13.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 68.33, 'Macroalgae': 0.67, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 17.0, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
PASIK2,-4.9673,122.75213,2021,4,4,exposed,fringing,channel,5,"{'Sand': 1.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 56.33, 'Macroalgae': 0.0, 'Soft coral': 1.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 41.0, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
PASIK3,-5.09188,122.61497,2021,3,30,exposed,fringing,channel,5,"{'Sand': 5.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 55.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 37.33, 'Other invertebrates': 2.33, 'Crustose coralline algae': 0.0}"
PASIK4,-5.1229,122.61387,2021,3,30,exposed,fringing,channel,5,"{'Sand': 1.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 77.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 20.0, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}"
PASIK4,-5.1229,122.61387,2021,4,1,exposed,fringing,channel,5,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 74.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 1.0, 'Cyanobacteria': 0.0, 'Bare substrate': 25.0, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
PASIK4,-5.1229,122.61387,2021,4,18,exposed,fringing,channel,5,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 74.0, 'Macroalgae': 0.0, 'Soft coral': 1.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 25.0, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
PASIK5,-5.18488,122.61737,2021,4,18,exposed,fringing,channel,7,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 73.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 27.0, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
PASIK6,-5.05122,122.73442,2021,3,30,exposed,fringing,channel,8,"{'Sand': 8.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 72.67, 'Macroalgae': 0.33, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 17.67, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}"
PASIK8,-5.09813,122.72398,2021,3,30,exposed,fringing,channel,8,"{'Sand': 14.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 47.0, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 37.67, 'Other invertebrates': 1.33, 'Crustose coralline algae': 0.0}"
SAGOR1,-5.34738,121.78023,2021,4,7,exposed,fringing,fore reef,10,"{'Sand': 19.33, 'Other': 0.0, 'Rubble': 40.0, 'Seagrass': 0.0, 'Hard coral': 5.33, 'Macroalgae': 0.0, 'Soft coral': 3.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 31.67, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
SAGOR2,-5.33695,121.75924,2021,4,7,exposed,fringing,fore reef,10,"{'Sand': 2.33, 'Other': 0.0, 'Rubble': 20.67, 'Seagrass': 0.0, 'Hard coral': 38.33, 'Macroalgae': 0.67, 'Soft coral': 24.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 11.0, 'Other invertebrates': 2.33, 'Crustose coralline algae': 0.0}"
SAGOR3,-5.35974,121.73766,2021,4,7,exposed,fringing,fore reef,10,"{'Sand': 5.67, 'Other': 0.0, 'Rubble': 34.67, 'Seagrass': 0.0, 'Hard coral': 41.0, 'Macroalgae': 0.0, 'Soft coral': 2.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 15.0, 'Other invertebrates': 1.67, 'Crustose coralline algae': 0.0}"
SAGOR4,-5.30793,121.76372,2021,4,6,exposed,fringing,fore reef,10,"{'Sand': 5.33, 'Other': 0.0, 'Rubble': 16.67, 'Seagrass': 0.0, 'Hard coral': 47.67, 'Macroalgae': 4.33, 'Soft coral': 1.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 22.67, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}"
SAGOR6,-5.23678,121.76996,2021,4,7,exposed,fringing,fore reef,10,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 20.33, 'Seagrass': 0.0, 'Hard coral': 43.33, 'Macroalgae': 9.33, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 25.67, 'Other invertebrates': 1.0, 'Crustose coralline algae': 0.0}"
SAGOR7,-5.12458,121.81958,2021,4,5,exposed,fringing,fore reef,10,"{'Sand': 51.33, 'Other': 0.0, 'Rubble': 3.0, 'Seagrass': 0.0, 'Hard coral': 16.0, 'Macroalgae': 1.0, 'Soft coral': 8.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 16.67, 'Other invertebrates': 4.0, 'Crustose coralline algae': 0.0}"
SIOMP1,-5.68043,122.45918,2021,4,2,exposed,fringing,fore reef,4,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 74.67, 'Macroalgae': 0.0, 'Soft coral': 1.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 23.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
SIOMP2,-5.66852,122.48435,2021,4,2,exposed,fringing,fore reef,5,"{'Sand': 27.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 45.67, 'Macroalgae': 0.33, 'Soft coral': 2.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 20.0, 'Other invertebrates': 4.0, 'Crustose coralline algae': 0.0}"
SIOMP4,-5.68715,122.54721,2021,4,2,exposed,fringing,fore reef,5,"{'Sand': 0.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 55.0, 'Macroalgae': 0.0, 'Soft coral': 3.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 40.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
SIOMP5,-5.6276,122.54023,2021,4,2,exposed,fringing,fore reef,6,"{'Sand': 4.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 32.33, 'Macroalgae': 0.0, 'Soft coral': 1.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 62.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
SIOMP6,-5.62037,122.51912,2021,4,2,exposed,fringing,fore reef,5,"{'Sand': 13.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 46.67, 'Macroalgae': 0.0, 'Soft coral': 7.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 32.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
SIOMP7,-5.65373,122.4927,2021,4,2,exposed,barrier,fore reef,5,"{'Sand': 1.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 57.33, 'Macroalgae': 0.0, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 41.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
SIONT1,-5.31553,123.20327,2021,3,28,exposed,fringing,fore reef,7,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 78.33, 'Macroalgae': 0.0, 'Soft coral': 1.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 20.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
SIONT2,-5.33657,123.19466,2021,3,28,exposed,fringing,fore reef,6,"{'Sand': 11.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 39.0, 'Macroalgae': 1.67, 'Soft coral': 6.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 41.67, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
SIONT3,-5.36695,123.16908,2021,3,28,exposed,fringing,fore reef,5,"{'Sand': 7.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 50.0, 'Macroalgae': 2.33, 'Soft coral': 7.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 32.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
SIONT4,-5.38184,123.15185,2021,3,28,exposed,fringing,fore reef,5,"{'Sand': 3.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 36.33, 'Macroalgae': 0.33, 'Soft coral': 4.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 55.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
SIONT5,-5.40467,123.11939,2021,3,28,exposed,fringing,fore reef,6,"{'Sand': 7.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 43.33, 'Macroalgae': 0.0, 'Soft coral': 15.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 33.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
SIONT6,-5.417,123.08949,2021,3,28,exposed,fringing,fore reef,6,"{'Sand': 6.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 60.0, 'Macroalgae': 1.0, 'Soft coral': 9.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 23.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
TALRAY1,-5.47597,121.9236,2021,4,8,exposed,fringing,fore reef,10,"{'Sand': 39.0, 'Other': 0.0, 'Rubble': 13.33, 'Seagrass': 0.0, 'Hard coral': 9.67, 'Macroalgae': 2.0, 'Soft coral': 8.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 21.67, 'Other invertebrates': 5.67, 'Crustose coralline algae': 0.0}"
TALRAY2,-5.4931,121.93444,2021,4,8,exposed,fringing,fore reef,10,"{'Sand': 15.0, 'Other': 0.0, 'Rubble': 4.0, 'Seagrass': 0.0, 'Hard coral': 20.33, 'Macroalgae': 3.0, 'Soft coral': 3.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 52.0, 'Other invertebrates': 2.33, 'Crustose coralline algae': 0.0}"
TALRAY3,-5.52145,121.99358,2021,4,8,exposed,fringing,fore reef,10,"{'Sand': 19.0, 'Other': 0.0, 'Rubble': 16.33, 'Seagrass': 0.0, 'Hard coral': 59.67, 'Macroalgae': 0.0, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 3.33, 'Other invertebrates': 1.33, 'Crustose coralline algae': 0.0}"
TALRAY4,-5.48832,122.05472,2021,4,9,exposed,fringing,channel,10,"{'Sand': 6.0, 'Other': 0.0, 'Rubble': 36.33, 'Seagrass': 0.0, 'Hard coral': 45.67, 'Macroalgae': 2.67, 'Soft coral': 0.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 8.0, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}"
TALRAY5,-5.49253,122.07934,2021,4,9,exposed,fringing,fore reef,10,"{'Sand': 31.67, 'Other': 0.0, 'Rubble': 13.33, 'Seagrass': 0.0, 'Hard coral': 19.33, 'Macroalgae': 2.33, 'Soft coral': 3.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 27.67, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}"
TALRAY7,-5.44763,122.04902,2021,4,9,exposed,fringing,fore reef,10,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 31.0, 'Seagrass': 0.0, 'Hard coral': 47.33, 'Macroalgae': 0.33, 'Soft coral': 1.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 18.67, 'Other invertebrates': 1.67, 'Crustose coralline algae': 0.0}"
TIWOR1,-4.5773,122.30295,2021,4,5,exposed,fringing,fore reef,8.3,"{'Sand': 2.33, 'Other': 0.0, 'Rubble': 9.33, 'Seagrass': 0.0, 'Hard coral': 42.0, 'Macroalgae': 25.67, 'Soft coral': 2.33, 'Turf algae': 2.33, 'Cyanobacteria': 0.0, 'Bare substrate': 7.67, 'Other invertebrates': 8.33, 'Crustose coralline algae': 0.0}"
TIWOR2,-4.58446,122.33176,2021,4,5,exposed,fringing,fore reef,6.2,"{'Sand': 19.67, 'Other': 0.0, 'Rubble': 19.67, 'Seagrass': 0.0, 'Hard coral': 22.67, 'Macroalgae': 18.0, 'Soft coral': 1.33, 'Turf algae': 3.67, 'Cyanobacteria': 0.0, 'Bare substrate': 9.33, 'Other invertebrates': 5.67, 'Crustose coralline algae': 0.0}"
TIWOR3,-4.63096,122.33135,2021,4,5,exposed,fringing,channel,6,"{'Sand': 6.67, 'Other': 0.0, 'Rubble': 68.67, 'Seagrass': 0.0, 'Hard coral': 5.0, 'Macroalgae': 14.67, 'Soft coral': 0.0, 'Turf algae': 4.33, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}"
TIWOR4,-4.6448,122.33294,2021,4,4,exposed,fringing,channel,7.5,"{'Sand': 12.67, 'Other': 0.0, 'Rubble': 8.67, 'Seagrass': 0.0, 'Hard coral': 10.67, 'Macroalgae': 37.67, 'Soft coral': 1.67, 'Turf algae': 2.33, 'Cyanobacteria': 0.0, 'Bare substrate': 16.67, 'Other invertebrates': 9.67, 'Crustose coralline algae': 0.0}"
TIWOR6,-4.6591,122.29202,2021,4,4,exposed,fringing,fore reef,6,"{'Sand': 7.33, 'Other': 0.0, 'Rubble': 75.33, 'Seagrass': 0.33, 'Hard coral': 6.0, 'Macroalgae': 6.67, 'Soft coral': 0.0, 'Turf algae': 2.0, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 2.33, 'Crustose coralline algae': 0.0}"
TIWOR7,-4.69816,122.39209,2021,4,4,exposed,fringing,fore reef,4.4,"{'Sand': 29.33, 'Other': 0.0, 'Rubble': 1.33, 'Seagrass': 0.0, 'Hard coral': 13.67, 'Macroalgae': 29.67, 'Soft coral': 3.33, 'Turf algae': 1.0, 'Cyanobacteria': 0.0, 'Bare substrate': 7.0, 'Other invertebrates': 14.67, 'Crustose coralline algae': 0.0}"
UZ1,-4.39601,122.75924,2021,4,11,sheltered,fringing,fore reef,6,"{'Sand': 17.67, 'Other': 0.0, 'Rubble': 14.33, 'Seagrass': 0.0, 'Hard coral': 39.33, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 27.0, 'Other invertebrates': 1.67, 'Crustose coralline algae': 0.0}"
UZ2,-4.42498,122.7985,2021,4,10,sheltered,fringing,fore reef,8,"{'Sand': 47.67, 'Other': 0.0, 'Rubble': 33.33, 'Seagrass': 0.0, 'Hard coral': 5.67, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.33, 'Cyanobacteria': 0.0, 'Bare substrate': 12.33, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}"
UZ3,-4.42284,122.86157,2021,4,11,exposed,fringing,fore reef,7,"{'Sand': 6.33, 'Other': 0.0, 'Rubble': 40.33, 'Seagrass': 0.0, 'Hard coral': 35.0, 'Macroalgae': 1.33, 'Soft coral': 0.0, 'Turf algae': 0.33, 'Cyanobacteria': 0.0, 'Bare substrate': 16.0, 'Other invertebrates': 0.67, 'Crustose coralline algae': 0.0}"
WABUL1,-5.61543,122.86898,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 11.67, 'Other': 0.0, 'Rubble': 1.0, 'Seagrass': 0.0, 'Hard coral': 43.0, 'Macroalgae': 0.67, 'Soft coral': 7.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 30.67, 'Other invertebrates': 5.33, 'Crustose coralline algae': 0.0}"
WABUL5,-5.62727,122.85188,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 59.33, 'Macroalgae': 0.0, 'Soft coral': 0.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 39.67, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
WABUL6,-5.63841,122.84261,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 0.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 80.0, 'Macroalgae': 0.0, 'Soft coral': 2.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 17.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
WABUL7,-5.58892,122.88592,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 0.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 71.67, 'Macroalgae': 0.0, 'Soft coral': 2.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 25.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
WABUL8,-5.59789,122.87903,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 1.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 71.67, 'Macroalgae': 0.0, 'Soft coral': 4.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 20.0, 'Other invertebrates': 2.33, 'Crustose coralline algae': 0.0}"
WABUL9,-5.65542,122.82203,2021,3,27,exposed,fringing,fore reef,6,"{'Sand': 2.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 65.33, 'Macroalgae': 0.0, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 32.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
WAWON1,-4.01485,123.07786,2021,3,30,exposed,fringing,fore reef,6,"{'Sand': 3.33, 'Other': 0.0, 'Rubble': 7.33, 'Seagrass': 0.0, 'Hard coral': 18.0, 'Macroalgae': 8.67, 'Soft coral': 2.33, 'Turf algae': 11.33, 'Cyanobacteria': 0.0, 'Bare substrate': 42.0, 'Other invertebrates': 7.0, 'Crustose coralline algae': 0.0}"
WAWON2,-4.008,123.13557,2021,3,31,exposed,fringing,fore reef,8,"{'Sand': 8.33, 'Other': 0.0, 'Rubble': 2.67, 'Seagrass': 0.0, 'Hard coral': 52.33, 'Macroalgae': 3.0, 'Soft coral': 15.33, 'Turf algae': 1.67, 'Cyanobacteria': 0.0, 'Bare substrate': 11.67, 'Other invertebrates': 5.0, 'Crustose coralline algae': 0.0}"
WAWON4,-4.00761,123.17924,2021,3,31,exposed,fringing,fore reef,6,"{'Sand': 8.33, 'Other': 0.0, 'Rubble': 19.0, 'Seagrass': 0.0, 'Hard coral': 38.0, 'Macroalgae': 30.0, 'Soft coral': 0.67, 'Turf algae': 3.67, 'Cyanobacteria': 0.0, 'Bare substrate': 0.33, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
WAWON6,-4.02478,123.22365,2021,3,31,exposed,fringing,fore reef,8,"{'Sand': 0.33, 'Other': 0.0, 'Rubble': 25.67, 'Seagrass': 0.0, 'Hard coral': 45.67, 'Macroalgae': 1.0, 'Soft coral': 16.0, 'Turf algae': 0.33, 'Cyanobacteria': 0.0, 'Bare substrate': 7.33, 'Other invertebrates': 3.67, 'Crustose coralline algae': 0.0}"
WAWON7,-3.99474,122.9681,2021,3,30,exposed,fringing,fore reef,8,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 29.67, 'Seagrass': 0.0, 'Hard coral': 8.33, 'Macroalgae': 1.33, 'Soft coral': 10.33, 'Turf algae': 17.33, 'Cyanobacteria': 0.0, 'Bare substrate': 24.0, 'Other invertebrates': 9.0, 'Crustose coralline algae': 0.0}"
WAWON8,-3.98542,123.03827,2021,3,31,exposed,fringing,fore reef,6,"{'Sand': 1.0, 'Other': 0.0, 'Rubble': 28.67, 'Seagrass': 0.0, 'Hard coral': 47.67, 'Macroalgae': 0.33, 'Soft coral': 19.67, 'Turf algae': 2.0, 'Cyanobacteria': 0.0, 'Bare substrate': 0.33, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
