site_name,latitude,longitude,sample_date_year,sample_date_month,sample_date_day,reef_exposure,reef_type,reef_zone,depth_avg,percent_cover_by_benthic_category_avg
Legon Moto,-5.86286,110.46648,2019,3,24,semi-exposed,fringing,back reef,5,"{'Sand': 1.5, 'Other': 0.0, 'Rubble': 7.88, 'Seagrass': 0.0, 'Hard coral': 62.88, 'Macroalgae': 1.63, 'Soft coral': 1.13, 'Turf algae': 22.63, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 2.38, 'Crustose coralline algae': 0.0}"
Menjangan Besar,-5.89806,110.43379,2019,3,28,exposed,fringing,fore reef,5.5,"{'Sand': 2.63, 'Other': 0.0, 'Rubble': 20.88, 'Seagrass': 0.0, 'Hard coral': 55.13, 'Macroalgae': 3.0, 'Soft coral': 0.88, 'Turf algae': 16.25, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 1.25, 'Crustose coralline algae': 0.0}"
Menjangan Kecil,-5.90131,110.40563,2019,3,28,exposed,fringing,fore reef,5,"{'Sand': 4.0, 'Other': 0.0, 'Rubble': 21.0, 'Seagrass': 0.0, 'Hard coral': 55.13, 'Macroalgae': 1.5, 'Soft coral': 1.75, 'Turf algae': 16.0, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.63, 'Crustose coralline algae': 0.0}"
Menyawakan,-5.79817,110.34733,2019,4,4,sheltered,fringing,fore reef,5,"{'Sand': 1.5, 'Other': 0.0, 'Rubble': 32.5, 'Seagrass': 0.0, 'Hard coral': 49.63, 'Macroalgae': 0.13, 'Soft coral': 0.63, 'Turf algae': 13.88, 'Cyanobacteria': 0.0, 'Bare substrate': 0.25, 'Other invertebrates': 1.5, 'Crustose coralline algae': 0.0}"
Nyamuk,-5.82071,110.206447,2019,4,6,exposed,fringing,fore reef,5.5,"{'Sand': 2.0, 'Other': 0.0, 'Rubble': 15.25, 'Seagrass': 0.0, 'Hard coral': 62.5, 'Macroalgae': 4.0, 'Soft coral': 0.25, 'Turf algae': 15.38, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.63, 'Crustose coralline algae': 0.0}"
Pantai Nirwana,-5.8868,110.45016,2019,3,25,exposed,fringing,fore reef,5,"{'Sand': 5.75, 'Other': 0.0, 'Rubble': 11.75, 'Seagrass': 0.0, 'Hard coral': 37.63, 'Macroalgae': 3.0, 'Soft coral': 1.0, 'Turf algae': 39.25, 'Cyanobacteria': 0.0, 'Bare substrate': 0.13, 'Other invertebrates': 1.5, 'Crustose coralline algae': 0.0}"
Parang 1,-5.755273,110.260433,2019,4,10,semi-exposed,fringing,fore reef,5.5,"{'Sand': 3.88, 'Other': 0.0, 'Rubble': 20.5, 'Seagrass': 0.0, 'Hard coral': 43.0, 'Macroalgae': 4.13, 'Soft coral': 0.38, 'Turf algae': 27.38, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.75, 'Crustose coralline algae': 0.0}"
Parang 2,-5.7680110000000004,110.258263,2019,4,10,semi-exposed,fringing,fore reef,5,"{'Sand': 2.5, 'Other': 0.0, 'Rubble': 28.0, 'Seagrass': 0.0, 'Hard coral': 47.88, 'Macroalgae': 0.75, 'Soft coral': 3.25, 'Turf algae': 16.75, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.88, 'Crustose coralline algae': 0.0}"
Sintok 1,-5.78476,110.51927,2019,3,27,exposed,fringing,fore reef,5,"{'Sand': 0.38, 'Other': 0.0, 'Rubble': 6.75, 'Seagrass': 0.0, 'Hard coral': 64.13, 'Macroalgae': 11.5, 'Soft coral': 1.5, 'Turf algae': 15.25, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.5, 'Crustose coralline algae': 0.0}"
Sintok 2,-5.78817,110.51389,2019,3,27,exposed,fringing,fore reef,5,"{'Sand': 1.38, 'Other': 0.0, 'Rubble': 27.88, 'Seagrass': 0.0, 'Hard coral': 43.0, 'Macroalgae': 0.88, 'Soft coral': 1.0, 'Turf algae': 23.88, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}"
Taka Malang E,-5.822472,110.438789,2019,4,3,exposed,fringing,fore reef,5.5,"{'Sand': 3.0, 'Other': 0.0, 'Rubble': 13.0, 'Seagrass': 0.0, 'Hard coral': 57.5, 'Macroalgae': 0.13, 'Soft coral': 0.38, 'Turf algae': 25.63, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.38, 'Crustose coralline algae': 0.0}"
Taka Malang W,-5.82071,110.438853,2019,4,3,exposed,fringing,fore reef,4.5,"{'Sand': 0.25, 'Other': 0.0, 'Rubble': 13.88, 'Seagrass': 0.0, 'Hard coral': 64.88, 'Macroalgae': 0.0, 'Soft coral': 0.25, 'Turf algae': 19.88, 'Cyanobacteria': 0.0, 'Bare substrate': 0.38, 'Other invertebrates': 0.5, 'Crustose coralline algae': 0.0}"
Taka Menyawakan E,-5.76733,110.325654,2019,4,4,exposed,fringing,fore reef,7,"{'Sand': 0.0, 'Other': 0.0, 'Rubble': 0.75, 'Seagrass': 0.0, 'Hard coral': 68.0, 'Macroalgae': 0.25, 'Soft coral': 3.25, 'Turf algae': 16.25, 'Cyanobacteria': 0.0, 'Bare substrate': 0.25, 'Other invertebrates': 11.25, 'Crustose coralline algae': 0.0}"
Taka Menyawakan W,-5.766931,110.324744,2019,4,4,exposed,fringing,fore reef,7,"{'Sand': 0.5, 'Other': 0.0, 'Rubble': 8.25, 'Seagrass': 0.0, 'Hard coral': 72.5, 'Macroalgae': 0.0, 'Soft coral': 0.75, 'Turf algae': 16.5, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 1.5, 'Crustose coralline algae': 0.0}"
Tanjung Dua,-5.85681,110.47279,2019,3,25,exposed,fringing,back reef,5,"{'Sand': 1.25, 'Other': 0.0, 'Rubble': 12.13, 'Seagrass': 0.0, 'Hard coral': 60.25, 'Macroalgae': 1.63, 'Soft coral': 0.5, 'Turf algae': 23.75, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 0.5, 'Crustose coralline algae': 0.0}"
